id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
AC110611.1,190.0,240.0,236.0,251.0,227.0
AC110611.2,0.0,1.0,0.0,0.0,1.0
CEP135,2683.0,1656.0,2273.0,1784.0,2727.0
KIAA1211,19993.0,17824.0,22509.0,28386.0,20854.0
AC022267.1,162.0,66.0,96.0,103.0,70.0
AASDH,2716.0,2664.0,3114.0,2989.0,2362.0
AC068620.1,32.0,45.0,52.0,25.0,26.0
PPAT,2482.0,1956.0,2539.0,2436.0,1820.0
AC068620.2,40.0,47.0,47.0,39.0,36.0
PAICS,9606.0,6070.0,7616.0,6275.0,5625.0
SRP72,9206.0,8205.0,8421.0,7270.0,9165.0
ARL9,670.0,500.0,670.0,695.0,414.0
THEGL,48.0,28.0,112.0,47.0,48.0
HOPX,577.0,578.0,302.0,520.0,617.0
SPINK2,4.0,1.0,4.0,10.0,1.0
REST,3041.0,2286.0,2924.0,1602.0,1644.0
AC069307.1,16.0,11.0,20.0,16.0,7.0
NOA1,1840.0,1928.0,1726.0,2059.0,1533.0
POLR2B,5565.0,5155.0,6127.0,6105.0,6018.0
IGFBP7,68.0,124.0,94.0,53.0,92.0
IGFBP7-AS1,50.0,47.0,43.0,24.0,15.0
AC111197.1,0.0,0.0,1.0,0.0,1.0
AC105390.1,0.0,0.0,0.0,0.0,0.0
LINC02380,0.0,1.0,2.0,2.0,5.0
AC013724.1,1.0,5.0,4.0,2.0,6.0
AC107396.1,0.0,0.0,1.0,0.0,0.0
AC093725.2,5.0,4.0,1.0,5.0,3.0
AC093725.1,0.0,0.0,0.0,0.0,0.0
AC104790.1,0.0,0.0,0.0,1.0,0.0
LINC02494,0.0,2.0,2.0,0.0,0.0
AC019133.1,0.0,0.0,0.0,0.0,0.0
AC017091.1,5.0,1.0,3.0,1.0,3.0
LINC02619,0.0,0.0,0.0,0.0,1.0
LINC02429,0.0,2.0,1.0,1.0,3.0
AC097501.1,0.0,0.0,1.0,1.0,5.0
AC108517.2,0.0,2.0,2.0,7.0,2.0
AC108517.1,1.0,4.0,0.0,1.0,0.0
AC096588.1,3.0,5.0,1.0,9.0,6.0
AC093857.1,0.0,0.0,0.0,0.0,1.0
AC092596.1,25.0,26.0,18.0,10.0,8.0
LINC02496,0.0,0.0,1.0,0.0,0.0
LINC02271,21.0,13.0,27.0,41.0,19.0
ADGRL3,34744.0,42258.0,48740.0,43533.0,56011.0
AC020741.1,131.0,163.0,235.0,185.0,235.0
ADGRL3-AS1,49.0,45.0,52.0,82.0,34.0
AC097491.1,1.0,0.0,1.0,0.0,0.0
AC093730.1,8.0,4.0,8.0,2.0,6.0
TECRL,3.0,8.0,10.0,7.0,4.0
